objectid,wd19cd,wd19nm,wd19nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
7742,S13002830,North East, ,342870,733751,-2.92944,56.492352,7619983.37558537,13274.4682723595
7743,S13002835,Dyce/Bucksburn/Danestone, ,386500,812169,-2.22506,57.200089,48317586.2663438,36548.1906322247
7744,S13002836,Bridge of Don, ,393288,812097,-2.11272,57.199589,24468268.0755775,21986.4731273308
7745,S13002837,Kingswells/Sheddocksley/Summerhill, ,387268,807547,-2.21212,57.158588,14226876.6146734,19795.7732878164
7746,S13002838,Northfield/Mastrick North, ,390666,808184,-2.15597,57.164391,2998838.34712653,6623.33686614315
7747,S13002839,Hilton/Woodside/Stockethill, ,392135,808283,-2.13168,57.16531,2594682.84881487,7832.7139357494
7748,S13002840,Tillydrone/Seaton/Old Aberdeen, ,394211,808651,-2.09736,57.168652,4392032.41076005,10936.590994873
7749,S13002841,Midstocket/Rosemount, ,392279,806786,-2.12925,57.151871,3213017.52699301,8628.94245124699
7750,S13002842,George St/Harbour, ,394480,806715,-2.09287,57.15126,3664620.62220063,12354.5817509392
7751,S13002843,Lower Deeside, ,383862,802374,-2.26809,57.112011,46608585.44998,43625.6399908662
7752,S13002844,Hazlehead/Queens Cross/Countesswells, ,389731,805126,-2.1713,57.136902,11028991.1211178,17921.5489817013
7753,S13002845,Airyhall/Broomhill/Garthdee, ,391695,804200,-2.13882,57.128632,4165146.87488084,9294.22488203289
7754,S13002846,Torry/Ferryhill, ,395675,805073,-2.07309,57.13652,4978936.80924815,13136.1283337882
7755,S13002847,Kincorth/Nigg/Cove, ,394821,801834,-2.08714,57.107422,15191281.0918188,16205.5855758957
7756,S13002848,Banff and District, ,361589,857211,-2.64438,57.603241,265161860.569946,84745.4034962162
7757,S13002849,Troup, ,381990,860189,-2.30325,57.631271,255181492.225043,94618.2773841612
7758,S13002850,Fraserburgh and District, ,400405,861477,-1.99488,57.6432,67029651.0340925,42202.5047111471
7759,S13002851,Central Buchan, ,395795,848127,-2.07186,57.52327,385632648.324228,112399.589409424
7760,S13002852,Peterhead North and Rattray, ,407480,854861,-1.87657,57.583721,111374850.746808,67311.8163970293
7761,S13002853,Peterhead South and Cruden, ,407733,838797,-1.87283,57.439419,85326880.7765963,51722.9634646221
7762,S13002854,Turriff and District, ,374953,843338,-2.41934,57.479568,428477805.349156,119673.233440247
7763,S13002855,Mid Formartine, ,385176,824710,-2.24773,57.312698,231724543.85697,99226.6501702261
7764,S13002856,Ellon and District, ,398202,830436,-2.03154,57.364368,196425029.03171,94951.1116773145
7765,S13002857,West Garioch, ,366532,824828,-2.55723,57.312771,239192798.022887,108941.493849048
