objectid,wd19cd,wd19nm,wd19nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
5344,E05011070,Sherrards, ,523439,214555,-0.21061,51.81600189,3086975.81802508,7345.4568526885
5345,E05011071,Welham Green and Hatfield South, ,523269,204833,-0.21653,51.72866821,11711428.1832501,20683.5686344985
5346,E05011072,Welwyn East, ,524914,216209,-0.18863,51.8305397,9221051.19484499,18727.885797141
5347,E05011073,Welwyn West, ,520834,216561,-0.24769001,51.83459854,12592074.7624016,28458.5978592131
5348,E05011074,Claygate, ,515856,163673,-0.33735001,51.3603096,4703388.70892224,10147.0834143867
5349,E05011075,Cobham and Downside, ,510396,159920,-0.41690001,51.32767105,15777471.5402259,21750.2081244713
5350,E05011076,Esher, ,513280,164287,-0.37413999,51.36634827,10080655.758146,16518.3392159693
5351,E05011077,Hersham Village, ,511389,163903,-0.40141001,51.36328125,3499402.0743805,13177.2910030902
5352,E05011078,Hinchley Wood and Weston Green, ,515762,165050,-0.33825001,51.37271118,4642975.20582581,13440.8181328597
5353,E05011079,Long Ditton, ,516719,166320,-0.32409,51.38393021,2311005.39808119,8889.4747432846
5354,E05011080,Molesey East, ,514441,168137,-0.35622999,51.40071869,3183756.0023325,11034.5140070459
5355,E05011081,Molesey West, ,513259,167783,-0.37333,51.39778137,2379673.73374742,7892.01988474989
5356,E05011082,Oatlands and Burwood Park, ,509456,164524,-0.42897001,51.36922836,3621742.7812931,9939.213636478
5357,E05011083,Oxshott and Stoke D'Abernon, ,514387,160374,-0.35949999,51.33095932,15793703.2741037,19425.0083123494
5358,E05011084,Thames Ditton, ,515416,167239,-0.34251001,51.39245987,2642593.25649919,7810.27908190713
5359,E05011085,Walton Central, ,510129,166431,-0.41872001,51.3862381,2057953.09671367,9869.51386673958
5360,E05011086,Walton North, ,511295,167316,-0.40169001,51.39397049,5239503.56528385,10414.6705423917
5361,E05011087,Walton South, ,512135,165919,-0.39006001,51.38124847,3231478.79402622,10423.4172572731
