objectid,wd19cd,wd19nm,wd19nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1035,E05001372,Calder, ,397182,429533,-2.04422,53.76215,104450127.538822,56113.7020425275
1036,E05001373,Elland, ,411654,420930,-1.82502,53.684711,9325307.86835797,17084.6369703718
1037,E05001374,Greetland and Stainland, ,407581,420201,-1.88671,53.67823,19258793.1847771,28530.8536745254
1038,E05001375,Hipperholme and Lightcliffe, ,413672,425988,-1.79425,53.730122,10591528.8025204,20570.3383853055
1039,E05001376,Illingworth and Mixenden, ,406149,429835,-1.9082,53.764839,15260915.2444793,21528.5954167904
1040,E05001377,Luddendenfoot, ,400906,424228,-1.98775,53.714481,46639669.3441113,46706.2483242378
1041,E05001378,Northowram and Shelf, ,411036,427496,-1.83415,53.74374,13602797.3715544,18768.4899594755
1042,E05001379,Ovenden, ,407634,427090,-1.88574,53.74015,3410742.51177238,10848.1127279033
1043,E05001380,Park, ,408058,425199,-1.87936,53.723148,2216899.3470315,7585.65535685362
1044,E05001381,Rastrick, ,414389,421821,-1.78357,53.69265,4491824.88535221,9765.54748651791
1045,E05001382,Ryburn, ,401956,418658,-1.97187,53.66441,61857420.809503,48296.6242483764
1046,E05001383,Skircoat, ,408794,423541,-1.86825,53.708229,3682143.16068128,9626.95212962066
1047,E05001384,Sowerby Bridge, ,406608,423777,-1.90136,53.710388,3586930.0051512,13080.8239744979
1048,E05001385,Todmorden, ,392507,423327,-2.11498,53.706329,37764801.4804343,32843.0743979855
1049,E05001386,Town, ,410380,423884,-1.84421,53.711288,8867574.05902886,20413.5854290102
1050,E05001387,Warley, ,406143,426319,-1.90836,53.733238,7070304.53589011,16178.0934996336
1051,E05001389,Ashbrow, ,415067,420097,-1.77338,53.677139,11312944.5369596,17576.4522917873
1052,E05001390,Batley East, ,425816,424374,-1.61031,53.71516,7882791.78873015,19099.5707770836
1053,E05001391,Batley West, ,423189,424505,-1.65011,53.716461,4341805.73512932,12053.9262019908
1054,E05001392,Birstall and Birkenshaw, ,422148,427419,-1.66567,53.742699,12274729.0965938,25010.5495625162
1055,E05001393,Cleckheaton, ,417859,426402,-1.73076,53.733719,12148363.7537039,20438.0758576899
1056,E05001396,Dalton, ,417283,418606,-1.73992,53.66367,12883116.492818,18777.1092625587
1057,E05001397,Denby Dale, ,423285,410728,-1.64968,53.592628,41150495.3920828,35889.7968440956
1058,E05001398,Dewsbury East, ,425671,421753,-1.61273,53.691608,6442243.91841079,15718.8541405071
